scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy;globalID;childDataID;accSpeciesID;colNum_fullprefix;status;accepted_name;ipni_no
0;Orophea;sp.;0;0;Darling, FW;14848;;14848;;01/05/1909 - 31/05/1909;1;5;1909;<NA>;<NA>;;;;0;Philippines;0;Philippines. Province of Nueva Vizcaya. Luzon.;0;121.13;16.35;0;0;P01987554;P01987554;Darling;Nueva Vizcaya;Darling, F.W.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Phaeanthus;ebracteolatus;0;0;Darling, FW;14850;;14850;;01/05/1919 - 31/05/1919;1;5;1919;Mols, J.B.;01/07/1998 - 31/07/1998;1;7;1998;0;Philippines;0;"Philippines. Province of Nueva Vizcaya; Luzon.";0;121.13;16.35;0;0;P01960460;P01960460;Darling;Nueva Vizcaya;Darling, F.W.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Mitrephora;lanotan;0;0;Elgricolin, V;27766;;27766;;15/07/1919 - 15/07/1919;15;7;1919;<NA>;<NA>;;;;0;Philippines;0;Philippines. Bataan Province. Luzon.;0;120.42;14.67;0;0;P01967852;P01967852;Elgricolin;Bataan;Elgricolin, V.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Orophea;cumingiana;0;0;Elmer, ADE;10498;;10498;;01/05/1909 - 31/05/1909;1;5;1909;Kessler, P.;08/03/1984 - 08/03/1984;8;3;1984;0;Philippines;0;Philippine Islands. Todaya (Mt. Apo), District de Davao. Island of Mindanao.;0;125.347;6.958;0;0;P01987510;P01987510;Elmer;Davao del Sur;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Meiogyne;vingata;0;0;Elmer, ADE;11318;;11318;;01/07/1909 - 31/07/1909;1;7;1909;van Heudsen, E.C.H.;01/01/1994 - 31/12/1994;1;1;1994;0;Philippines;0;Philippine Islands. Todaya (Mt. Apo), District of Davao, Island of Mindanao.;0;125.347;6.958;0;0;P00601055;P00601055;Elmer;Davao del Sur;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Haplostichanthus;lanceolata;0;0;Elmer, ADE;12170;;12170;;01/03/1910 - 31/03/1910;1;3;1910;Kessler, P.;01/11/2003 - 30/11/2003;1;11;2003;0;Philippines;0;Philippine Plants. Romblon;0;122.28;12.55;0;0;P00389900;P00389900;Elmer;Romblon;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Xylopia;densifolia;0;0;Elmer, ADE;12471;;12471;;01/05/1910 - 31/05/1910;1;5;1910;Elmer, A.D.E.;<NA>;;;;0;Philippines;0;Philippine Islands. Magallanes (Mt. Giting-Giting), province of Capiz. Island of Sibuyan.;0;122.568;12.414;0;0;P00734860;P00734860;Elmer;Capiz;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Goniothalamus;gitingensis;0;0;Elmer, ADE;12507;;12507;;01/05/1910 - 31/05/1910;1;5;1910;Elmer, A.D.E.;<NA>;;;;0;Philippines;0;Philippine Islands. Magallanes (Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;0;122.5676;12.415;0;0;P00432362;P00432362;Elmer;Romblon;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Enicosanthum;klemmei;0;0;Elmer, ADE;12565;;12565;;01/05/1910 - 31/05/1910;1;5;1910;van Setten, A.K.;01/01/1987 - 31/12/1987;1;1;1987;0;Philippines;0;Philippine Islands. Magallanes ( Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;0;122.587;12.386;0;0;P01986512;P01986512;Elmer;Capiz;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Polyalthia;klemmei;0;0;Elmer, ADE;12644;;12644;;01/02/1911 - 28/02/1911;1;2;1911;Elmer, A.D.E.;<NA>;;;;0;Philippines;0;Philippine Islands. Puerto Princesa (Mt. Pulgar), province of Palawan, island of Palawan;0;118.604;9.792;0;0;P00751060;P00751060;Elmer;Palawan;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
0;Enicosanthum;klemmei;0;0;Elmer, ADE;12644;;12644;;<NA>;;;;<NA>;<NA>;;;;0;Philippines;0;Mindanao, etc.;0;;;0;0;P00751061;P00751061;Elmer;;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
