scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det;country_iso3;status;accepted_name;ipni_no
0;Polyalthia;glauca;(Hassk.) Mols, Kessler & Rogstad;0;Curran, HM;10475;;10475;;01/05/1908 - 31/05/1908;1;5;1908;nan;<NA>;;;;PH;Philippines;0;Philippines. Camarines Prov., Luzon;0;122.793;14.013;0;0;P01983902;P01983902;Curran;Bicol Region (Region V);0;Curran, H.M.;<NA>;;;PHL;SYNONYM;Maasia glauca;https://ipni.org/n/74584-1
0;Polyalthia;clusiflora;(Merr.) Merr.;0;Curran, HM;10884;;10884;;01/12/1908 - 31/12/1908;1;12;1908;nan;<NA>;;;;PH;Philippines;0;Philippines. Nueva Vizcaya Prov., Luzon.;0;121.13;16.35;0;0;P01983936;P01983936;Curran;Nueva Vizcaya;0;Curran, H.M.;<NA>;;;PHL;SYNONYM;Dasymaschalon clusiflorum;https://ipni.org/n/74534-1
0;Uvaria;sorzogonensis;(Blume) Blume;0;Curran, HM;3525;;3525;;01/01/1906 - 31/01/1906;1;1;1906;nan;<NA>;;;;PH;Philippines;0;Philippines. Palawan.;0;118.735;9.7376;0;0;P00248445;P00248445;Curran;Palawan;0;Curran, H.M.;<NA>;;;PHL;SYNONYM;Uvaria littoralis;https://ipni.org/n/75939-1
0;Phaeanthus;ebracteolatus;(Roxb. ex G.Don) J.Sinclair;0;Darling, FW;14850;;14850;;01/05/1919 - 31/05/1919;1;5;1919;Mols, JB;01/07/1998 - 31/07/1998;1;7;1998;PH;Philippines;0;"Philippines. Province of Nueva Vizcaya; Luzon.";0;121.13;16.35;0;0;P01960460;P01960460;Darling;Nueva Vizcaya;0;Darling, F.W.;Mols, J.B.;;;PHL;SYNONYM;Phaeanthus ophthalmicus;https://ipni.org/n/74436-1
0;Mitrephora;lanotan;(Blanco) Merr.;0;Elgricolin, V;27766;;27766;;15/07/1919 - 15/07/1919;15;7;1919;nan;<NA>;;;;PH;Philippines;0;Philippines. Bataan Province. Luzon.;0;120.42;14.67;0;0;P01967852;P01967852;Elgricolin;Bataan;0;Elgricolin, V.;<NA>;;;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1
0;Orophea;cumingiana;S.Vidal;0;Elmer, ADE;10498;;10498;;01/05/1909 - 31/05/1909;1;5;1909;Kessler, P;08/03/1984 - 08/03/1984;8;3;1984;PH;Philippines;0;Philippine Islands. Todaya (Mt. Apo), District de Davao. Island of Mindanao.;0;125.347;6.958;0;0;P01987510;P01987510;Elmer;Davao del Sur;0;Elmer, A.D.E.;Kessler, P.;;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1
0;Haplostichanthus;lanceolata;S.Vidal;0;Elmer, ADE;12170;;12170;;01/03/1910 - 31/03/1910;1;3;1910;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippine Plants. Romblon;0;122.28;12.55;0;0;P00389900;P00389900;Elmer;Romblon;0;Elmer, A.D.E.;Kessler, P.;;;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1
0;Xylopia;densifolia;Elmer;0;Elmer, ADE;12471;;12471;;01/05/1910 - 31/05/1910;1;5;1910;Elmer, ADE;<NA>;;;;PH;Philippines;0;Philippine Islands. Magallanes (Mt. Giting-Giting), province of Capiz. Island of Sibuyan.;0;122.568;12.414;0;0;P00734860;P00734860;Elmer;Capiz;0;Elmer, A.D.E.;Elmer, A.D.E.;;;PHL;ACCEPTED;Xylopia densifolia;https://ipni.org/n/76114-1
0;Goniothalamus;gitingensis;(Elmer) Bân;0;Elmer, ADE;12507;;12507;;01/05/1910 - 31/05/1910;1;5;1910;Elmer, ADE;<NA>;;;;PH;Philippines;0;Philippine Islands. Magallanes (Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;0;122.5676;12.415;0;0;P00432362;P00432362;Elmer;Romblon;0;Elmer, A.D.E.;Elmer, A.D.E.;;;PHL;SYNONYM;Goniothalamus elmeri var. gitingensis;https://ipni.org/n/73197-1
0;Enicosanthum;klemmei;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;12565;;12565;;01/05/1910 - 31/05/1910;1;5;1910;nan;01/01/1987 - 31/12/1987;1;1;1987;PH;Philippines;0;Philippine Islands. Magallanes ( Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;0;122.587;12.386;0;0;P01986512;P01986512;Elmer;Capiz;0;Elmer, A.D.E.;van Setten, A.K.;;;PHL;SYNONYM;Monoon klemmei;https://ipni.org/n/72963-1
0;Polyalthia;klemmei;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;12644;;12644;;01/02/1911 - 28/02/1911;1;2;1911;Elmer, ADE;<NA>;;;;PH;Philippines;0;Philippine Islands. Puerto Princesa (Mt. Pulgar), province of Palawan, island of Palawan;0;118.604;9.792;0;0;P00751060;P00751060;Elmer;Palawan;0;Elmer, A.D.E.;Elmer, A.D.E.;;;PHL;SYNONYM;Monoon klemmei;https://ipni.org/n/74612-1
0;Enicosanthum;klemmei;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;12644;;12644;;<NA>;;;;nan;<NA>;;;;PH;Philippines;0;Mindanao, etc.;0;;;0;0;P00751061;P00751061;Elmer;;0;Elmer, A.D.E.;<NA>;;;PHL;SYNONYM;Monoon klemmei;https://ipni.org/n/72963-1
0;Orophea;palawanensis;(Ridl.) Leonardía & Kessler;0;Elmer, ADE;12645;;12645;;01/02/1911 - 28/02/1911;1;2;1911;Kessler, P;10/05/0184 - 10/05/0184;10;5;184;PH;Philippines;0;Philippine islands. Brooks point (Addison peak), Province of Palawan. Island of Palawan;0;117.777;8.808;0;0;P00389963;P00389963;Elmer;Palawan;0;Elmer, A.D.E.;Kessler, P.;;;PHL;SYNONYM;Orophea creaghii;https://ipni.org/n/74251-1
0;Miliusa;horsfieldii;(Benn.) Baill. ex Pierre;0;Elmer, ADE;12677;;12677;;01/02/1911 - 28/02/1911;1;2;1911;Mols, JB;01/03/2004 - 31/03/2004;1;3;2004;PH;Philippines;0;Philippine Islands. Brooks Point (Addison Peak), Province of Palawan. Island of Palawan.;0;117.753;8.802;0;0;P00160916;P00160916;Elmer;Palawan;0;Elmer, A.D.E.;Mols, J.B.;;;PHL;ACCEPTED;Miliusa horsfieldii;https://ipni.org/n/73936-1
0;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Elmer, ADE;12803;;12803;;01/03/1911 - 31/03/1911;1;3;1911;nan;<NA>;;;;PH;Philippines;0;Philippine islands. Puerto Princesa (Mt. Pulgar), province of Palawan. Island of Palawan.;0;118.7350414;9.7376025;0;0;P02006249;P02006249;Elmer;Palawan;0;Elmer, A.D.E.;<NA>;;;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1
0;Enicosanthum;grandifolium;(Elmer) B.Xue & R.M.K.Saunders;0;Elmer, ADE;12854;;12854;;01/03/1911 - 31/03/1911;1;3;1911;Kessler, P;01/05/2004 - 31/05/2004;1;5;2004;PH;Philippines;0;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;0;118.7350414;9.7376025;0;0;P01986506;P01986506;Elmer;Palawan;0;Elmer, A.D.E.;Kessler, P.;;;PHL;SYNONYM;Monoon grandifolium;https://ipni.org/n/72962-1
