scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Papualthia sympetala (C.B.Rob.) Merr.;Haplostichanthus;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. Broad summit of a hilly terrain above Dicotcotan, San Isidro, Palanan, Isabela, to which Palanan Point is sighted at c 10 degrees. [Transect Plot 3-3] Transect trend: E to W. Tree stands with an average canopy height of c. 25 m. A few emergent crowns between 30 m - 35 m.;17.128333;122.515;Co, LL ;Co 3-3-18;;;;nan;<NA>;MO;MO;101221497;0;0;0;Co;;0;;;;0;0;0;MO101221497;3-3-18;lanceolata;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Pulang Lupa. [Transect Plot 3-5] Transect trend: E to W. Forest above Puland Bato, undulating terrain.;17.13;122.5;Co, LL ;Co 3-5-21;;;;nan;<NA>;MO;MO;101223037;0;0;0;Co;;0;;;;0;0;0;MO101223037;3-5-21;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Enicosanthum grandifolium (Elmer) Airy Shaw;Enicosanthum;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect Plot 3-2] continuation of Transect 3-1; Transect trend: NE to SW; from 50 m to 63 m. Slope 25 degrees. Emergent trees up to c 35 m tall.";17.128333;122.515;Co, LL ;Co 3-2-27;;;;nan;<NA>;MO;MO;101220464;0;0;0;Co;;0;;;;0;0;0;MO101220464;3-2-27;grandifolium;"L.L. Co;Benito C. Tan";<NA>
Polyalthia loheri Merr.;Haplostichanthus;PH;"Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, hills north of Sitio Diago. [Transect Plot 3-2] continuation of Transect 3-1; Transect trend: NE to SW; from 50 m to 63 m. Slope 25 degrees. Emergent trees up to c 35 m tall.";17.128333;122.515;Co, LL ;Co 3-2-10;;;;nan;<NA>;MO;MO;101220093;0;0;0;Co;;0;;;;0;0;0;MO101220093;3-2-10;lanceolata;"L.L. Co;Benito C. Tan";<NA>
Polyalthia loheri Merr.;Haplostichanthus;PH;Sierra Madre Mtn. Range (east foothills), Isabela province, Palanan municipality, Barangay San Isidro, Sitio Pulang Lupa. [Transect Plot 3-5] Transect trend: E to W. Forest above Puland Bato, undulating terrain.;17.13;122.5;Co, LL ;Co 3-5-15;;;;nan;<NA>;MO;MO;101222727;0;0;0;Co;;0;;;;0;0;0;MO101222727;3-5-15;lanceolata;"L.L. Co;Benito C. Tan";<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;Luzon;16.033333;120.45;Domingo, DC;21676;;5;1914;nan;<NA>;CM;Botany;CM446409;0;0;0;;;0;;;;0;0;0;CM446409;21676;rufa;Domingo, D.C.;<NA>
Uvaria L.;Uvaria;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;10527;;5;1909;nan;<NA>;NSW;NSW;NSW453583;0;0;0;;;0;;;;0;0;0;NSW453583;10527;;Elmer, A.D.E.;<NA>
Annonaceae;<NA>;PH;Los Banos (Mt Maguiling), Island of Luzon.;14.1789;121.2256;Elmer, ADE;17739;;6;1917;nan;<NA>;NSW;NSW;NSW503037;0;0;0;;;0;;;;0;0;0;NSW503037;17739;;Elmer, A.D.E.;<NA>
Uvaria rufa (Dunal) Blume;Uvaria;PH;Antipolo, Province of Rizal.;16.42;120.62;Ramos, M;s.n.;;7;1917;nan;<NA>;NSW;NSW;NSW453614;0;0;0;s;;0;;;;0;0;0;NSW453614;nan;rufa;"Ramos, M.;Edaño, G.E.";<NA>
Annonaceae;<NA>;PH;Puerta [Puerto] Galera, Island of Mindoro.;13.5;120.95;Merrill, ED;3345;;10;1903;Sauquet, H;2018-11-20T00:00:00;NSW;NSW;NSW505220;0;0;0;;;0;20;11;2018;0;0;0;NSW505220;3345;;Merrill, E.D.;Sauquet, H.
Uvaria L.;Uvaria;PH;Lucban. Province of Tayabas. Luzon.;14.07;121.33;Elmer, ADE;7647;;5;1907;nan;<NA>;NSW;NSW;NSW453624;0;0;0;;;0;;;;0;0;0;NSW453624;7647;;Elmer, A.D.E.;<NA>
Uvaria L.;Uvaria;PH;Todaya (Mount Apo), District of Davao.;5.9594;121.1739;Elmer, ADE;10957;;6;1909;nan;<NA>;NSW;NSW;NSW453602;0;0;0;;;0;;;;0;0;0;NSW453602;10957;;Elmer, A.D.E.;<NA>
