scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname;genus_old;specificEpithet_old
Goniothalamus fasciculatus Boerl.;Goniothalamus;ID;E. Kalimantan, Paser District, Gunung Lumut Protection Forest, border between Rantau Layung and Mului, off km 64;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3413 ";15;11;2005;nan;nan;nan;Botany;L  0778597;fasciculatus;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0778597;3413;"Sidiyasa K; et al.";Sidiyasa;Goniothalamus;fasciculatus
Mitrella kentii (Blume) Miq.;Mitrella;ID;"Indonesia, Borneo, Kalimantan Tengah, base camp P.B.U. and environs.0.02S; 114.06E";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 344 ;6;6;1990;Kessler PJA;nan;nan;Botany;L.1757621;kentii;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1757621;344;Sidiyasa K;Sidiyasa;Mitrella;kentii
Mitrella kentii (Blume) Miq.;Mitrella;ID;"Indonesia, Borneo, Kalimantan Tengah, base camp P.B.U. and environs.0.02S; 114.06E";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 344 ;6;6;1990;Kessler PJA;nan;nan;Botany;L  0197223;kentii;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0197223;344;Sidiyasa K;Sidiyasa;Mitrella;kentii
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Paser District, Gunung Lumut Protection Forest, road to Mului village off Km 63.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3469 ";17;11;2005;Arbainsyah;2006-05-01T00:00:00;nan;Botany;L.3728293;kalimantanensis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728293;3469;"Sidiyasa K; et al.";Sidiyasa;Monocarpia;kalimantanensis
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Paser District, Gunung Lumut Protection Forest, road to Mului village off Km 63.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3469 ";17;11;2005;Arbainsyah;2006-05-01T00:00:00;nan;Botany;L.3728292;kalimantanensis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728292;3469;"Sidiyasa K; et al.";Sidiyasa;Monocarpia;kalimantanensis
Monocarpia kalimantanensis Kessler;Monocarpia;ID;Paser District, Gunung Lumut Protection Forest, road to Mului village off Km 63.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3469 ";17;11;2005;Arbainsyah;2006-05-01T00:00:00;nan;Botany;L.3728277;kalimantanensis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728277;3469;"Sidiyasa K; et al.";Sidiyasa;Monocarpia;kalimantanensis
Enicosanthum paradoxum Becc.;Enicosanthum;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, road to Mului village off Km 63.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3474 ";17;11;2005;nan;nan;nan;Botany;L.3728291;paradoxum;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728291;3474;"Sidiyasa K; et al.";Sidiyasa;Enicosanthum;paradoxum
Enicosanthum paradoxum Becc.;Enicosanthum;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, road to Mului village off Km 63.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3474 ";17;11;2005;nan;nan;nan;Botany;L.3728279;paradoxum;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728279;3474;"Sidiyasa K; et al.";Sidiyasa;Enicosanthum;paradoxum
Mezzettia parviflora Becc.;Mezzettia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Mului off Km 61 road to Mului Village.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3477 ";18;11;2005;nan;nan;nan;Botany;L.3728300;parviflora;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728300;3477;"Sidiyasa K; et al.";Sidiyasa;Mezzettia;parviflora
Mezzettia parviflora Becc.;Mezzettia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Mului off Km 61 road to Mului Village.;-1.45;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3477 ";18;11;2005;nan;nan;nan;Botany;L.3728280;parviflora;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728280;3477;"Sidiyasa K; et al.";Sidiyasa;Mezzettia;parviflora
Neo-uvaria foetida (Maingay ex Hook.f. & Thomson) Airy Shaw;Neo-Uvaria;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.416667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3554 ";23;11;2005;nan;nan;nan;Botany;L.3728294;acuminatissima;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728294;3554;"Sidiyasa K; et al.";Sidiyasa;Neo-Uvaria;acuminatissima
Neo-uvaria foetida (Maingay ex Hook.f. & Thomson) Airy Shaw;Neo-Uvaria;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.416667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3554 ";23;11;2005;nan;nan;nan;Botany;L.3728383;acuminatissima;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728383;3554;"Sidiyasa K; et al.";Sidiyasa;Neo-Uvaria;acuminatissima
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.416667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3557 ";23;11;2005;nan;nan;nan;Botany;L.3728283;virgata;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728283;3557;"Sidiyasa K; et al.";Sidiyasa;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.416667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3557 ";23;11;2005;nan;nan;nan;Botany;L.3728276;virgata;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728276;3557;"Sidiyasa K; et al.";Sidiyasa;Meiogyne;virgata
Miliusa macropoda Miq.;Miliusa;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.4166669999999997;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3568 ";24;11;2005;nan;nan;nan;Botany;L.3728301;macropoda;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728301;3568;"Sidiyasa K; et al.";Sidiyasa;Miliusa;macropoda
Miliusa macropoda Miq.;Miliusa;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.4166669999999997;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3568 ";24;11;2005;nan;nan;nan;Botany;L.3728289;macropoda;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728289;3568;"Sidiyasa K; et al.";Sidiyasa;Miliusa;macropoda
Miliusa macropoda Miq.;Miliusa;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, southern slope of Mount Lumut.;-1.4166669999999997;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3568 ";24;11;2005;nan;nan;nan;Botany;L.3728290;macropoda;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728290;3568;"Sidiyasa K; et al.";Sidiyasa;Miliusa;macropoda
Monocarpia Miq.;Monocarpia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung, around Perayan River.;-1.616667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3596 ";28;11;2005;nan;nan;nan;Botany;L.3728302;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728302;3596;"Sidiyasa K; et al.";Sidiyasa;Monocarpia;nan
Monocarpia Miq.;Monocarpia;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung, around Perayan River.;-1.616667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3596 ";28;11;2005;nan;nan;nan;Botany;L.3728303;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728303;3596;"Sidiyasa K; et al.";Sidiyasa;Monocarpia;nan
Cyathocalyx sumatranus Scheff.;Monocarpia;ID;Pasar distr., Gunung Lamut Protetion forest, Rantau Layung, around Perayan river.;-1.616667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3596 ";28;11;2005;Kessler PJA;nan;nan;Botany;L.1755603;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1755603;3596;"Sidiyasa K; et al.";Sidiyasa;Cyathocalyx;sumatranus
Cyathocalyx sumatranus Scheff.;Monocarpia;ID;Pasar distr., Gunung Lamut Protetion forest, Rantau Layung, around Perayan river.;-1.616667;115.983333;Sidiyasa, K;"Sidiyasa, K; et al.  3596 ";28;11;2005;Kessler PJA;nan;nan;Botany;L  0778458;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0778458;3596;"Sidiyasa K; et al.";Sidiyasa;Cyathocalyx;sumatranus
Orophea Blume;Orophea;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.616667;115.966667;Sidiyasa, K;"Sidiyasa, K; et al.  3617 ";1;12;2005;nan;nan;nan;Botany;L.3728245;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728245;3617;"Sidiyasa K; et al.";Sidiyasa;Orophea;nan
Orophea Blume;Orophea;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.616667;115.966667;Sidiyasa, K;"Sidiyasa, K; et al.  3617 ";1;12;2005;nan;nan;nan;Botany;L.3728244;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728244;3617;"Sidiyasa K; et al.";Sidiyasa;Orophea;nan
Uvaria L.;Uvaria;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.616667;115.966667;Sidiyasa, K;"Sidiyasa, K; et al.  3618 ";1;12;2005;nan;nan;nan;Botany;L.3728242;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728242;3618;"Sidiyasa K; et al.";Sidiyasa;Uvaria;nan
Uvaria L.;Uvaria;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.616667;115.966667;Sidiyasa, K;"Sidiyasa, K; et al.  3618 ";1;12;2005;nan;nan;nan;Botany;L.3728243;nan;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728243;3618;"Sidiyasa K; et al.";Sidiyasa;Uvaria;nan
Orophea trigyna Miq.;Orophea;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.6166670000000003;115.96666699999999;Sidiyasa, K;"Sidiyasa, K; et al.  3624 ";1;12;2005;nan;nan;nan;Botany;L.3728278;trigyna;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728278;3624;"Sidiyasa K; et al.";Sidiyasa;Orophea;trigyna
Orophea trigyna Miq.;Orophea;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.6166670000000003;115.96666699999999;Sidiyasa, K;"Sidiyasa, K; et al.  3624 ";1;12;2005;nan;nan;nan;Botany;L.3728288;trigyna;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728288;3624;"Sidiyasa K; et al.";Sidiyasa;Orophea;trigyna
Orophea trigyna Miq.;Orophea;ID;East Kalimantan, Paser District, Gunung Lumut Protection Forest, Rantau Layung.;-1.6166670000000003;115.96666699999999;Sidiyasa, K;"Sidiyasa, K; et al.  3624 ";1;12;2005;nan;nan;nan;Botany;L.3728287;trigyna;0;0;Sidiyasa;;0;0;0;0;0;0;0;L3728287;3624;"Sidiyasa K; et al.";Sidiyasa;Orophea;trigyna
Artabotrys gracilis King;Artabotrys;ID;"Indonesia, Kalimantan Tengah, Base camp P.B.U. and environs, Joli river114.06E; 0.02 S";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 410 ;8;6;1990;Turner IM;2008-11-01T00:00:00;nan;Botany;L  0181926;gracilis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0181926;410;Sidiyasa K;Sidiyasa;Artabotrys;gracilis
Artabotrys gracilis King;Artabotrys;ID;"Indonesia, Kalimantan Tengah, Base camp P.B.U. and environs, Joli river114.06E; 0.02 S";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 410 ;8;6;1990;Turner IM;2008-11-01T00:00:00;nan;Botany;L  0045877;gracilis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0045877;410;Sidiyasa K;Sidiyasa;Artabotrys;gracilis
Artabotrys gracilis King;Artabotrys;ID;"Indonesia, Kalimantan Tengah, Base camp P.B.U. and environs, Joli river114.06E; 0.02 S";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 410 ;8;6;1990;Turner IM;2008-11-01T00:00:00;nan;Botany;L  0045879;gracilis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0045879;410;Sidiyasa K;Sidiyasa;Artabotrys;gracilis
Artabotrys gracilis King;Artabotrys;ID;"Indonesia, Kalimantan Tengah, Base camp P.B.U. and environs, Joli river114.06E; 0.02 S";-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 410 ;8;6;1990;Turner IM;2008-11-01T00:00:00;nan;Botany;L  0045878;gracilis;0;0;Sidiyasa;;0;0;0;0;0;0;0;L0045878;410;Sidiyasa K;Sidiyasa;Artabotrys;gracilis
Uvaria excelsa (Hook.f. & Thomson) King;Uvaria;ID;Indonesia, Central Kalimantan, Barito Ulu and environs, off trail Jl. Banbang;-0.033333;114.1;Sidiyasa, K;Sidiyasa, K PBU 422 ;9;6;1990;Attanayake AMAS;2010-03-01T00:00:00;nan;Botany;L.1770395;excelsa;0;0;Sidiyasa;;0;0;0;0;0;0;0;L1770395;422;Sidiyasa K;Sidiyasa;Uvaria;excelsa
