scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Archipel. Ind. Billiton.;-2.833333;107.916667;Rossum HIP van;Rossum, HIP van  46 ;;;;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370534;0;0;0;Rossum;;0;;;;0;0;0;L4370534;46;heterotricha;Rossum HIP van;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Sumatra, Palembang, Rawas;-2.7;103.4;Dumas JM;Dumas, JM  1527 ;27;4;1917;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370538;0;0;0;Dumas;;0;;;;0;0;0;L4370538;1527;heterotricha;Dumas JM;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Borneo, Kalteng. Samba. 1994-1995 cutting blocks of PT Handiyani.;-0.716667;112.833333;Jarvie JK;"Jarvie, JK; Ruskandi, A  5229 ";24;1;1995;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370523;0;0;0;Jarvie;;0;;;;0;0;0;L4370523;5229;heterotricha;"Jarvie JK; Ruskandi A";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia heterotricha D.M.Johnson & N.A.Murray;Xylopia;ID;Archipel. Ind. Sumatra Res. Palembang ond. afd. Lematang Ilir.;-3.75;103.75;Unknown;Unknown F 971 ;8;9;1924;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370539;0;0;0;Unknown;;0;;;;0;0;0;L4370539;971;heterotricha;Unknown;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;"Climbing Gunung Bandahara; c. 6km NE of kampung Seldok (Alas Valley), c. 25 km N of Kutatjane.";4.410556;97.670833;Wilde WJJO de;"Wilde, WJJO de; Wilde-Duyfjes, BEE de  15599 ";20;3;1975;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370455;0;0;0;Wilde;;0;;;;0;0;0;L4370455;15599;sumatrana;"Wilde WJJO de; Wilde-Duyfjes BEE de";"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Xylopia sumatrana (Miq.) D.M.Johnson & N.A.Murray;Unona;ID;Sumatra eil: Simaloer;2.583333;96.083333;Achmad;Achmad  619 ;13;9;1918;"Johnson DM; Murray NA";<NA>;<NA>;Botany;L.4370448;0;0;0;Achmad;;0;;;;0;0;0;L4370448;619;sumatrana;Achmad;"Johnson DM; Murray NA";"Johnson DM; Murray NA"
Annonaceae;<NA>;ID;Camp Granite;-0.841111;102.5125;Wilkie, Peter;PW1030;31;1;2016;<NA>;<NA>;E;E;E00898529;0;0;0;PW;;0;;;;0;0;0;E00898529;1030;;"Wilkie, Peter; Hutabarat, Prima; Lancar; Idel";<NA>;<NA>
Annonaceae;<NA>;ID;Camp Granite;-0.841111;102.5125;Wilkie, Peter;PW1030;31;1;2016;<NA>;<NA>;E;E;E00898528;0;0;0;PW;;0;;;;0;0;0;E00898528;1030;;"Wilkie, Peter; Hutabarat, Prima; Lancar; Idel";<NA>;<NA>
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;ID;Kolaka Distict, Latumbaga Subdistrict, Ulungolaka village.;-3.984175;121.566692;Widjaja EA;Widjaja, EA  9886 ;16;11;2011;<NA>;<NA>;<NA>;Botany;L.3994507;0;0;0;Widjaja;;0;;;;0;0;0;L3994507;9886;grandiflora;Widjaja EA;<NA>;<NA>
Uvaria littoralis (Blume) Blume;Uvaria;ID;Kolaka District. Lasusua Subdistrict.;-3.630383;121.08055;Widjaja EA;Widjaja, EA  8867 ;16;12;2009;<NA>;<NA>;<NA>;Botany;L.3994466;0;0;0;Widjaja;;0;;;;0;0;0;L3994466;8867;littoralis;Widjaja EA;<NA>;<NA>
