scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;region;ORIG_recBy
0;Popowia;polyandra;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1915 - 31/08/1915;1;7;1915;<NA>;<NA>;;;;0;Philippines;0;Philiippines. Province of Sorsogon. Luzon.;0;124.0052543;12.9707848;0;0;P01983244;P01983244;Ramos;Sorsogon;Ramos, M.
0;Polyalthia;oblongifolia;0;0;Ramos, M;;<NA>;nan;<NA>;01/01/1915 - 31/01/1915;1;1;1915;<NA>;<NA>;;;;0;Philippines;0;Philippines. Province of Rizal. Luzon;0;121.25;14.65;0;0;P01983771;P01983771;Ramos;Rizal;Ramos, M.
0;Phaeanthus;ebracteolatus;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1916 - 30/09/1916;1;8;1916;<NA>;<NA>;;;;0;Philippines;0;Philippines. Mt Umingan, Province de Nueva Ecija, Luzon;0;121.37;15.517;0;0;P01960453;P01960453;Ramos;Nueva Ecija;Ramos, M.
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1916 - 30/09/1916;1;8;1916;<NA>;<NA>;;;;0;Philippines;0;Philippines. Mt. Umingan. Province of Nueva Ecija. Luzon;0;121.37;15.517;0;0;P01983384;P01983384;Ramos;Nueva Ecija;Ramos, M.
0;Neo-uvaria;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1916 - 31/03/1916;1;2;1916;Kessler, P.;01/01/1989 - 31/12/1989;1;1;1989;0;Philippines;0;Philippines. Catubig River, Samar;0;125.03;12.467;0;0;P00267946;P00267946;Ramos;Northern Samar;Ramos, M.
0;Polyalthia;oblongifolia;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1916 - 31/03/1916;1;2;1916;<NA>;<NA>;;;;0;Philippines;0;Philippines. Catubig River, Samar;0;125.047;12.363;0;0;P01983772;P01983772;Ramos;Samar;Ramos, M.
0;Dasymaschalon;clusiflorum;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1917 - 31/07/1917;1;7;1917;<NA>;<NA>;;;;0;Philippines;0;Philippines. Mt. Lumutan. Province of Rizal. Luzon;0;121.26;14.57;0;0;P02006241;P02006241;Ramos;Rizal;Ramos, M.
0;Pseuduvaria;grandiflora;0;0;Ramos, M;;<NA>;nan;<NA>;01/02/1917 - 31/03/1917;1;2;1917;Kessler, P.;03/09/1985 - 03/09/1985;3;9;1985;0;Philippines;0;Philippines. Bangui. Prov. of Ilocos Norte. Luzon;0;120.7657563;18.5367387;0;0;P00268516;P00268516;Ramos;Ilocos Norte;Ramos, M.
0;Polyalthia;sp.;0;0;Ramos, M;;<NA>;nan;<NA>;01/08/1918 - 31/08/1918;1;8;1918;<NA>;<NA>;;;;0;Philippines;0;Philippines. Mt. Nagapatan. Ilocos Norte Province. Luzon;0;120.765;18.255;0;0;P01982985;P01982985;Ramos;Ilocos Norte;Ramos, M.
0;Mitrephora;lanotan;0;0;Ramos, M;;<NA>;nan;<NA>;01/07/1918 - 31/07/1918;1;7;1918;Weerasooriya, A.D.;01/03/2001 - 31/03/2001;1;3;2001;0;Philippines;0;Philippines. Burgos. Ilocos Norte Province. Luzon;0;120.6436311;18.5110086;0;0;P00133830;P00133830;Ramos;Ilocos Norte;Ramos, M.
