recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specificEpithet_old
Pierre;;Kessler, P;03/09/1985 - 03/09/1985;01/01/1871 - 31/12/1871;Bà Rịa - Vũng Tàu;in montibus Dinh ad Baria Gallica Austro Cochinchinae;P01956313;Viet Nam;Alphonsea;philastreana;0;0;0;0;<NA>;<NA>;1;1;1871;3;9;1985;0;0;0;107.133;10.533;0;0;nan;P01956313;Pierre;Kessler, P.;Pierre;Pierre;<NA>;<NA>;Alphonsea;0
Pierre, L;;nan;<NA>;01/05/1864 - 31/05/1864;Hong Kong(香港);Hong-Kong;P00248186;Chine;Uvaria;hamiltonii;0;0;0;0;<NA>;<NA>;1;5;1864;;;;0;0;0;114.163;22.279;0;0;nan;P00248186;Pierre, L.;<NA>;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Uvaria;0
Pierre, L;;nan;<NA>;01/05/1864 - 31/05/1864;Hong Kong(香港);Hong Kong;P00248187;Chine;Uvaria;hamiltonii;0;0;0;0;<NA>;<NA>;1;5;1864;;;;0;0;0;114.163;22.279;0;0;nan;P00248187;Pierre, L.;<NA>;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Uvaria;0
Pierre, L;;Kessler, P;01/06/2004 - 30/06/2004;01/08/1866 - 31/08/1866;Bà Rịa - Vũng Tàu;ad Choben in prov. Baria. Cochinchine;P00432328;Viet Nam;Goniothalamus;gabriacianus;0;0;0;0;<NA>;<NA>;1;8;1866;1;6;2004;0;0;0;105.02423500526315;14.377992905263158;0;0;nan;P00432328;Pierre, L.;Kessler, P.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Goniothalamus;0
Pierre, L;;Kessler, P;01/06/2004 - 30/06/2004;01/08/1866 - 31/08/1866;Bà Rịa - Vũng Tàu;Mts Dinh, prov. Baria, Cochinchine.;P00432330;Viet Nam;Goniothalamus;gabriacianus;0;0;0;0;<NA>;<NA>;1;8;1866;1;6;2004;0;0;0;105.02423500526315;14.377992905263158;0;0;nan;P00432330;Pierre, L.;Kessler, P.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Goniothalamus;0
Pierre, L;;Pierre, L;<NA>;01/03/1867 - 31/03/1867;Bà Rịa - Vũng Tàu;In montibus Dinh ad Baria. Cochinchine;P01956308;Viet Nam;Alphonsea;philastreana;0;0;0;0;<NA>;<NA>;1;3;1867;;;;0;0;0;107.133;10.533;0;0;nan;P01956308;Pierre, L.;Pierre, L.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Alphonsea;0
Pierre, L;;Pierre, L;<NA>;01/03/1867 - 31/03/1867;Bà Rịa - Vũng Tàu;Mts Dinh, prov. Baria. Cochinchina;P01956309;Viet Nam;Alphonsea;philastreana;0;0;0;0;<NA>;<NA>;1;3;1867;;;;0;0;0;107.133;10.533;0;0;nan;P01956309;Pierre, L.;Pierre, L.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Alphonsea;0
Pierre, L;;nan;<NA>;01/01/1877 - 31/01/1877;Kiên Giang;Phu-Quoc;P01965443;Viet Nam;<NA>;indet.;0;0;0;0;<NA>;<NA>;1;1;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01965443;Pierre, L.;<NA>;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;<NA>;0
Pierre, L;;nan;<NA>;01/01/1877 - 31/01/1877;Kiên Giang;Phu-Quoc;P01965444;Viet Nam;<NA>;indet.;0;0;0;0;<NA>;<NA>;1;1;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01965444;Pierre, L.;<NA>;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;<NA>;0
Pierre, L;;nan;<NA>;01/01/1877 - 31/01/1877;Kiên Giang;Phu-quoc;P01965449;Viet Nam;<NA>;indet.;0;0;0;0;<NA>;<NA>;1;1;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01965449;Pierre, L.;<NA>;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;<NA>;0
Pierre, L;;Pierre, L;<NA>;01/03/1877 - 31/03/1877;Đồng Nai;Ad Bao Chiang in prov. Bien Hoa Cochinchinae;P01982079;Viet Nam;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;3;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01982079;Pierre, L.;Pierre, L.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Goniothalamus;0
Pierre, L;;Pierre, L;<NA>;01/03/1877 - 31/03/1877;Đồng Nai;ad Bao Chiang in prov. Bien Hoa. Cochinchinae;P01982080;Viet Nam;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;3;1877;;;;0;0;0;105.6892951;12.161713375;0;0;nan;P01982080;Pierre, L.;Pierre, L.;Pierre;Pierre, Jean Baptiste Louis;Cambodia, Vietnam;0;Goniothalamus;0
Porter;;Kessler, P;09/09/1985 - 09/09/1985;01/01/1823 - 31/12/1823;Pulau Pinang;Ile Poulo-Pinang;P02005359;Malaisie;Mitrephora;sp.;0;0;0;0;<NA>;<NA>;1;1;1823;9;9;1985;0;0;0;100.255625;5.405625;0;0;nan;P02005359;Porter;Kessler, P.;Porter;Porter;<NA>;<NA>;Mitrephora;0
