scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Goniothalamus longistaminus R.M.K.Saunders;Goniothalamus;ID;Sibual-bueli via Bulumario, Sipirok,  S. Sumatra.;1.616667;99.266667;Afriastini, JJ;Afriastini, JJ  2502 ;24;5;1993;nan;<NA>;<NA>;Botany;L  0180060;0;0;0;Afriastini;;0;;;;0;0;0;L0180060;2502;longistaminus;Afriastini JJ;<NA>;Afriastini;Afriastini, J. J.;Indonesia;0;Goniothalamus;longistaminus
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, Bukit Palelawan NR, S Sumatra;-4.9273;103.8436;Afriastini, JJ;Afriastini, JJ  765 ;11;2;1983;Heusden, ECH van;<NA>;<NA>;Botany;L.1756983;0;0;0;Afriastini;;0;;;;0;0;0;L1756983;765;virgata;Afriastini JJ;Heusden ECH van;Afriastini;Afriastini, J. J.;Indonesia;0;Meiogyne;virgata
Meiogyne virgata (Blume) Miq.;Meiogyne;ID;Sumatra, Bukit Palelawan NR, S Sumatra;-4.9273;103.8436;Afriastini, JJ;Afriastini, JJ  765 ;11;2;1983;Heusden, ECH van;<NA>;<NA>;Botany;L.1756984;0;0;0;Afriastini;;0;;;;0;0;0;L1756984;765;virgata;Afriastini JJ;Heusden ECH van;Afriastini;Afriastini, J. J.;Indonesia;0;Meiogyne;virgata
Mitrephora glabra Scheff.;Mitrephora;ID;West Kalimantan, Kapuas Hulu, seberang Mentibat camp (Sub Mendalam river's).;0.983333;113.25;Albertus;Albertus  43 ;15;3;2000;Ambriansyah;2000-03-01T00:00:00;<NA>;Botany;L.1757344;0;0;0;Albertus;;0;1;3;2000;0;0;0;L1757344;43;glabra;Albertus;Ambriansyah;Albertus;Albertus, C. G.;California;0;Mitrephora;glabra
Mitrephora glabra Scheff.;Mitrephora;ID;West Kalimantan, Kapuas Hulu, seberang Mentibat camp (Sub Mendalam river's).;0.983333;113.25;Albertus;Albertus  43 ;15;3;2000;Ambriansyah;2000-03-01T00:00:00;<NA>;Botany;L.1757345;0;0;0;Albertus;;0;1;3;2000;0;0;0;L1757345;43;glabra;Albertus;Ambriansyah;Albertus;Albertus, C. G.;California;0;Mitrephora;glabra
Mitrephora glabra Scheff.;Mitrephora;ID;West Kalimantan, Kapuas Hulu, seberang Mentibat camp (Sub Mendalam river's).;0.983333;113.25;Albertus;Albertus  43 ;15;3;2000;Ambriansyah;2000-03-01T00:00:00;<NA>;Botany;L.1757346;0;0;0;Albertus;;0;1;3;2000;0;0;0;L1757346;43;glabra;Albertus;Ambriansyah;Albertus;Albertus, C. G.;California;0;Mitrephora;glabra
Popowia Endl.;Popowia;ID;West Kalimantan, Kapuas Hulu, Habang river (Sub Mendalam river's).;1.1;113.316667;Albertus;Albertus  64 ;22;3;2000;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1763928;0;0;0;Albertus;;0;1;10;2011;0;0;0;L1763928;64;;Albertus;Ganesan SK;Albertus;Albertus, C. G.;California;0;Popowia;
Popowia Endl.;Popowia;ID;West Kalimantan, Kapuas Hulu, Habang river (Sub Mendalam river's).;1.1;113.316667;Albertus;Albertus  64 ;22;3;2000;Ganesan, SK;2011-10-01T00:00:00;<NA>;Botany;L.1763927;0;0;0;Albertus;;0;1;10;2011;0;0;0;L1763927;64;;Albertus;Ganesan SK;Albertus;Albertus, C. G.;California;0;Popowia;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Java: Res. Bogor, Dungus Iwul, SW of Djasinga;-6.478889;106.461667;Alston, AHG;Alston, AHG  12385 ;4;11;1953;Heusden, ECH van;<NA>;<NA>;Botany;L.1762625;0;0;0;Alston;;0;;;;0;0;0;L1762625;12385;lateriflora;Alston AHG;Heusden ECH van;Alston;Alston, Arthur Hugh Garfit;Austria, Belgium, Colombia, France, Indonesia, Panama, Sri Lanka, Venezuela;http://en.wikipedia.org/wiki/Arthur_Hugh_Garfit_Alston;Polyalthia;lateriflora
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Java: Res. Bogor, Dungus Iwul, SW of Djasinga;-6.478889;106.461667;Alston, AHG;Alston, AHG  12385 ;4;11;1953;Heusden, ECH van;<NA>;<NA>;Botany;L.1762624;0;0;0;Alston;;0;;;;0;0;0;L1762624;12385;lateriflora;Alston AHG;Heusden ECH van;Alston;Alston, Arthur Hugh Garfit;Austria, Belgium, Colombia, France, Indonesia, Panama, Sri Lanka, Venezuela;http://en.wikipedia.org/wiki/Arthur_Hugh_Garfit_Alston;Polyalthia;lateriflora
