scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Popowia pisocarpa (Blume) Endl.;Popowia;PH;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;14035;;;;nan;;US;US;US 1172356;pisocarpa;0;0;;;0;0;0;0;0;0;0;0;US1172356;14035;A. D. E. Elmer;A. D. E. Elmer
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Los Baños (Mt. Maquiling), Province of Laguna, Luzon.;;;A. D. E. Elmer;18327;;;;nan;;US;US;US 1237725;lanceolata;0;0;;;0;0;0;0;0;0;0;0;US1237725;18327;A. D. E. Elmer;A. D. E. Elmer
Orophea corymbosa (Blume) Miq.;Orophea;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;16208;;;;nan;;US;US;US 1236682;corymbosa;0;0;;;0;0;0;0;0;0;0;0;US1236682;16208;A. D. E. Elmer;A. D. E. Elmer
Dasymaschalon oblongatum Merr.;Dasymaschalon;PH;Baguio, Province of Benguet, Luzon.;;;A. D. E. Elmer;6016;;;;nan;;US;US;US 853201;clusiflorum;0;0;;;0;0;0;0;0;0;0;0;US853201;6016;A. D. E. Elmer;A. D. E. Elmer
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15166;;;;nan;;US;US;US 3507937;lanceolata;0;0;;;0;0;0;0;0;0;0;0;US3507937;15166;A. D. E. Elmer;A. D. E. Elmer
Drepananthus apoensis Elmer;Drepananthus;PH;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;13625;;;;nan;;US;US;US 1172298;apoensis;0;0;;;0;0;0;0;0;0;0;0;US1172298;13625;A. D. E. Elmer;A. D. E. Elmer
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Philippine Islands. Los Baños (Mt. Maquiling), Province of Laguna. Island of Luzon.;;;A. D. E. Elmer;17739;;;;nan;;US;US;US 1050024;luzonensis;0;0;;;0;0;0;0;0;0;0;0;US1050024;17739;A. D. E. Elmer;A. D. E. Elmer
Cyathocalyx globosus Merr.;Cyathocalyx;PH;Lamao River, Province of Bataan, Luzon.;;;Ahern's collector;131;;;;nan;;US;US;US 1584443;globosus;0;0;;;0;0;0;0;0;0;0;0;US1584443;131;Ahern's collector;Ahern's collector
Goniothalamus elmeri Merr.;Goniothalamus;PH;Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;;;A. D. E. Elmer;13933;;;;nan;;US;US;US 1172344;elmeri;0;0;;;0;0;0;0;0;0;0;0;US1172344;13933;A. D. E. Elmer;A. D. E. Elmer
Uvaria rufa (Dunal) Blume;Uvaria;PH;San Mateo, Province of Rizal, Luzon.;;;Ahern's collector;Forestry Bureau 1137;;;;nan;;US;US;US 851244;rufa;0;0;Forestry;;0;0;0;0;0;0;0;0;US851244;1137;Ahern's collector;Ahern's collector
Artabotrys suaveolens (Blume) Blume;Artabotrys;PH;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;;;A. D. E. Elmer;12942;;;;nan;;US;US;US 917702;suaveolens;0;0;;;0;0;0;0;0;0;0;0;US917702;12942;A. D. E. Elmer;A. D. E. Elmer
Uvaria elliptifolia Merr.;Uvaria;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;16039;;;;nan;;US;US;US 1236626;elliptifolia;0;0;;;0;0;0;0;0;0;0;0;US1236626;16039;A. D. E. Elmer;A. D. E. Elmer
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Rizal Province. Luzon.;;;Ahern's collector;Forestry Bureau 3316;;;;nan;;US;US;US 1314951;luzonensis;0;0;Forestry;;0;0;0;0;0;0;0;0;US1314951;3316;Ahern's collector;Ahern's collector
Fissistigma latifolium (Dunal) Merr.;Fissistigma;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;16709;;;;nan;;US;US;US 1236857;latifolium;0;0;;;0;0;0;0;0;0;0;0;US1236857;16709;A. D. E. Elmer;A. D. E. Elmer
Miliusa vidalii J.Sinclair;Miliusa;PH;Antipolo, Province of Rizal, Luzon.;;;Ahern's collector;96;;;;nan;;US;US;US 447384;vidalii;0;0;;;0;0;0;0;0;0;0;0;US447384;96;Ahern's collector;Ahern's collector
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Bosoboso, Prov. of Rizal. Luzon.;;;Ahern's collector;Forestry Bureau 1889;;;;nan;;US;US;US 851435;luzonensis;0;0;Forestry;;0;0;0;0;0;0;0;0;US851435;1889;Ahern's collector;Ahern's collector
Drepananthus apoensis Elmer;Drepananthus;PH;Mt. Abucayan. Leyte.;;;G. Edaño;Bu! Science 41683;;;;nan;;US;US;US 1262073;apoensis;0;0;Bu;;0;0;0;0;0;0;0;0;US1262073;41683;G. Edaño;ño
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;Philippine Islands. Los Baños (Mt. Maquiling), Province of Laguna. Island of Luzon.;;;A. D. E. Elmer;17669;;;;nan;;US;US;US 1050072;odorata;0;0;;;0;0;0;0;0;0;0;0;US1050072;17669;A. D. E. Elmer;A. D. E. Elmer
Polyalthia lanceolata S.Vidal;Haplostichanthus;PH;Mt. Sulu. Apayao Subprovince. Luzon.;;;E. Fénix;Bureau of Science 28413;;;;nan;;US;US;US 1294938;lanceolata;0;0;Bureau;;0;0;0;0;0;0;0;0;US1294938;28413;E. Fénix;E. Fénix
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;PH;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;17103;;;;nan;;US;US;US 1236995;odorata;0;0;;;0;0;0;0;0;0;0;0;US1236995;17103;A. D. E. Elmer;A. D. E. Elmer
Cyathocalyx globosus Merr.;Cyathocalyx;PH;Bosoboso, Prov. of Rizal.;;;Ahern's collector;Forestry Bureau 1878;;;;nan;;US;US;US 851430;globosus;0;0;Forestry;;0;0;0;0;0;0;0;0;US851430;1878;Ahern's collector;Ahern's collector
Uvaria rufa (Dunal) Blume;Uvaria;PH;Philippine Islands. Dumaguete (Cuernos Mts.), Province of Negros Oriental. Island of Negros.;;;A. D. E. Elmer;10313;;;;nan;;US;US;US 705812;rufa;0;0;;;0;0;0;0;0;0;0;0;US705812;10313;A. D. E. Elmer;A. D. E. Elmer
Uvaria panayensis Merr.;Uvaria;PH;Capiz Province. Panay.;;;G. Edaño;Bureau of Science 46006;;;;nan;;US;US;US 1527595;panayensis;0;0;Bureau;;0;0;0;0;0;0;0;0;US1527595;46006;G. Edaño;ño
Orophea Blume;Orophea;PH;Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.;;;A. D. E. Elmer;15197;;;;nan;;US;US;US 1236291;nan;0;0;;;0;0;0;0;0;0;0;0;US1236291;15197;A. D. E. Elmer;A. D. E. Elmer
Drepananthus apoensis Elmer;Drepananthus;PH;Province of Agusan. Mindanao.;;;-. Cortez;Forestry Bureau 24361;;;;nan;;US;US;US 1375271;apoensis;0;0;Forestry;;0;0;0;0;0;0;0;0;US1375271;24361;-. Cortez & -- Fernandez;-. Cortez
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;PH;District of Lanao. Mindanao.;;;R. A. Acuña;Forestry Bureau 23375;;;;nan;;US;US;US 1375647;obliqua;0;0;Forestry;;0;0;0;0;0;0;0;0;US1375647;23375;R. A. Acuña;ña
Fissistigma latifolium (Dunal) Merr.;Fissistigma;PH;Philippine Islands. Todaya (Mt. Apo), district of Davao. Island of Mindanao.;;;A. D. E. Elmer;10693;;;;nan;;US;US;US 424551;latifolium;0;0;;;0;0;0;0;0;0;0;0;US424551;10693;A. D. E. Elmer;A. D. E. Elmer
Uvaria sorzogonensis C.Presl;Uvaria;PH;Province of Laguna. Luzon.;;;R. C. McGregor;Bureau of Science 22795;;;;nan;;US;US;US 898362;littoralis;0;0;Bureau;;0;0;0;0;0;0;0;0;US898362;22795;R. C. McGregor;Gregor
