scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117088 ";1;5;1969;;2004-03-01T00:00:00;<NA>;Botany;L  0181763;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181763;117088;crassipetalus;"Gutiérrez, HG; et al.";Wang RJ;Gutiérrez, HG;recby_problem
Cyathocalyx crassipetalus R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117088 ";1;5;1969;;2004-03-01T00:00:00;<NA>;Botany;L  0181762;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181762;117088;crassipetalus;"Gutiérrez, HG; et al.";Wang RJ;Gutiérrez, HG;recby_problem
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Sohoton, Pamamayaon.;11.45;125.2;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117562 ";1;4;1970;;2004-03-01T00:00:00;<NA>;Botany;L  0181758;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181758;117562;samarensis;"Gutiérrez, HG; et al.";Wang R;Gutiérrez, HG;recby_problem
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Sohoton, Pamamayaon.;11.45;125.2;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117562 ";1;4;1970;;2004-03-01T00:00:00;<NA>;Botany;L  0181757;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181757;117562;samarensis;"Gutiérrez, HG; et al.";Wang R;Gutiérrez, HG;recby_problem
Cyathocalyx samarensis R.J.Wang & R.M.K.Saunders;Drepananthus;PH;Mt. Concord.;11.695278;125.241389;Gutiérrez, HG;"Gutiérrez, HG; et al. PNH 117059 ";1;5;1969;;2004-03-01T00:00:00;<NA>;Botany;L  0181761;0;0;0;Guti;;0;1;3;2004;0;0;0;L0181761;117059;samarensis;"Gutiérrez, HG; et al.";Wang R;Gutiérrez, HG;recby_problem
Mitrephora merrillii C.B.Rob.;Neo-Uvaria;PH;<NA>;07.8181;125.1544;Agama, J;23163;;;1914;;<NA>;NHMUK;BOT;BM000560223;0;0;0;;;0;;;;0;0;0;BM000560223;23163;acuminatissima;José Agama;<NA>;José Agama;recby_problem
Xylopia L.;Xylopia;PH;E. Samar, Balangiga.;11.109722;125.3875;Madulid, DA;"Madulid, DA; et al. PNH 118325 ";1;5;1971;Setten, AK van, Heusden, ECH van;<NA>;<NA>;Botany;L  0191432;0;0;0;Madulid;;0;;;;0;0;0;L0191432;118325;;"Madulid DA; et al.";"Setten AK van; Heusden ECH van";detby_problem;"Setten AK van; Heusden ECH van"
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;PH;Vicinity of Dupax, Province of Nueva Vizcaya, Luzon.;16.2838;121.0896;McGregor, RC;McGregor, RC BS 11475 ;1;3;1912;;<NA>;<NA>;Botany;L.1770660;0;0;0;McGregor;;0;;;;0;0;0;L1770660;11475;grandiflora;McGregor RC;<NA>;McGregor RC;recby_problem
Anaxagorea luzonensis A.Gray;Anaxagorea;PH;Philippines, Calauan, Prov. of Laguna, Luzon;14.1447;121.3152;McGregor, RC;McGregor, RC BS 12375 ;1;11;1910;;<NA>;<NA>;Botany;L.1744524;0;0;0;McGregor;;0;;;;0;0;0;L1744524;12375;luzonensis;McGregor RC;Benthem FDJ van;McGregor RC;recby_problem
Orophea creaghii (Ridl.) Leonardía & Kessler;Orophea;PH;Philippines, Palawan, Taytay.;10.825;119.517778;Merrill, ED;Merrill, ED  9227 ;1;4;1913;Leonardía, AAP;1999-07-01T00:00:00;<NA>;Botany;L.1766272;0;0;0;Merrill;;0;1;7;1999;0;0;0;L1766272;9227;creaghii;Merrill ED;Leonardía, AAP;detby_problem;Leonardía, AAP
