recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Furet;52;nan;<NA>;01/01/1855 - 31/12/1855;Hong Kong(香港);Chine méridionale. (Hong-Kong);P00248160;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1855;;;;0;0;0;114.1628;22.2793;0;0;0;0;0;52;P00248160;Furet;<NA>
Gaudichaud;223;nan;<NA>;01/01/1837 - 31/01/1837;;Chine (Canton et Macao);P00248161;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1837;;;;0;0;0;;;0;0;0;0;0;223;P00248161;Gaudichaud;<NA>
Gaudichaud;224;nan;<NA>;01/01/1837 - 31/01/1837;;Chine (Canton et Macao).;P00248163;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1837;;;;0;0;0;;;0;0;0;0;0;224;P00248163;Gaudichaud;<NA>
Gaudichaud;227;nan;<NA>;01/01/1837 - 31/01/1837;Macau(澳門);Chine (Macao);P00248164;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1837;;;;0;0;0;113.551;22.176;0;0;0;0;0;227;P00248164;Gaudichaud;<NA>
Gaudichaud;227;nan;<NA>;01/01/1837 - 31/01/1837;;Chine (Canton et Macao);P00248165;Chine;Uvaria;cordata;0;0;0;0;;;1;1;1837;;;;0;0;0;;;0;0;0;0;0;227;P00248165;Gaudichaud;<NA>
Hance;932;nan;<NA>;01/08/1861 - 31/08/1861;Hong Kong(香港);Hong Kong;P00248166;Chine;Uvaria;cordata;0;0;0;0;;;1;8;1861;;;;0;0;0;114.163;22.279;0;0;0;0;0;932;P00248166;Hance;<NA>
Hance, HF;932;nan;<NA>;01/05/1874 - 31/05/1874;Hong Kong(香港);HongKong;P00248167;Chine;Uvaria;cordata;0;0;0;0;;;1;5;1874;;;;0;0;0;114.163;22.279;0;0;0;0;0;932;P00248167;Hance, H.F.;<NA>
Hance, HF;932;nan;<NA>;01/05/1874 - 31/05/1874;Hong Kong(香港);Hongkong;P00248168;Chine;Uvaria;cordata;0;0;0;0;;;1;5;1874;;;;0;0;0;114.1628131;22.2793278;0;0;0;0;0;932;P00248168;Hance, H.F.;<NA>
Henry, A;8012;nan;<NA>;01/11/1889 - 30/11/1889;Hainan(海南);Hainan;P00248169;Chine;Uvaria;cordata;0;0;0;0;;;1;11;1889;;;;0;0;0;;;0;0;0;0;0;8012;P00248169;Henry, A.;<NA>
Henry, A;8257;nan;<NA>;01/11/1889 - 30/11/1889;Hainan(海南);Hainan;P00248170;Chine;Uvaria;cordata;0;0;0;0;;;1;11;1889;;;;0;0;0;;;0;0;0;0;0;8257;P00248170;Henry, A.;<NA>
How, FC;70957;nan;<NA>;01/03/1933 - 31/07/1933;Hainan(海南);Yaichow, Hainan.;P00248171;Chine;Uvaria;cordata;0;0;0;0;;;1;3;1933;;;;0;0;0;109.163;18.372;0;0;0;0;0;70957;P00248171;How, F.C.;<NA>
Robert;15;nan;<NA>;<NA>;Guangdong(广东);Chine (Kouang-Tchéou-Wan);P00248172;Chine;Uvaria;cordata;0;0;0;0;;;;;;;;;0;0;0;110.3548;21.2737;0;0;0;0;0;15;P00248172;Robert;<NA>
Robert;15;nan;<NA>;<NA>;Guangdong(广东);Chine (Kouang-Tchéou-Wan);P00248173;Chine;Uvaria;cordata;0;0;0;0;;;;;;;;;0;0;0;110.3548;21.2737;0;0;0;0;0;15;P00248173;Robert;<NA>
