scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Uvaria rufa (Dunal) Blume;Uvaria;PH;Dumaguete (Cuernos Mts.), Island of Negros;9.307;123.3074;Elmer, ADE;10313;;6;1908;nan;<NA>;VT;<NA>;UVMVT102289;0;0;0;;;0;;;;0;0;0;UVMVT102289;10313;rufa;Elmer, A.D.E.;<NA>;Elmer;Uvaria;rufa
Orophea cumingiana S.Vidal;Orophea;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10498 ;1;5;1909;Kessler, PJA;1984-03-01T00:00:00;<NA>;Botany;U.1090688;0;0;0;Elmer;;0;1;3;1984;0;0;0;U1090688;10498;cumingiana;Elmer ADE;Kessler PJA;Elmer;Orophea;cumingiana
Orophea cumingiana S.Vidal;Orophea;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10498 ;1;5;1909;Kessler, PJA;1984-03-01T00:00:00;<NA>;Botany;L.1766285;0;0;0;Elmer;;0;1;3;1984;0;0;0;L1766285;10498;cumingiana;Elmer ADE;Kessler PJA;Elmer;Orophea;cumingiana
Orophea Blume;Orophea;PH;Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.989444;125.269722;Elmer, ADE;10498;;5;1909;nan;<NA>;VT;<NA>;UVMVT102267;0;0;0;;;0;;;;0;0;0;UVMVT102267;10498;cumingiana;Elmer, A.D.E.;<NA>;Elmer;Orophea;
Fissistigma Griff.;Fissistigma;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10693 ;1;5;1909;Kessler, PJA;1988-06-01T00:00:00;<NA>;Botany;L.1754949;0;0;0;Elmer;;0;1;6;1988;0;0;0;L1754949;10693;latifolium;Elmer ADE;Kessler PJA;Elmer;Fissistigma;
Melodorum Lour.;Fissistigma;PH;Todaya (Mount Apo), District of Davao.;6.474422;123.221811;Elmer, ADE;10693;;5;1909;nan;<NA>;NSW;NSW;NSW562438;0;0;0;;;0;;;;0;0;0;NSW562438;10693;latifolium;Elmer, A.D.E.;<NA>;Elmer;Melodorum;
Melodorum rufum (C.Presl) Merr.;Fissistigma;PH;Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.474422;123.221811;Elmer, ADE;10693;;5;1909;nan;<NA>;VT;<NA>;UVMVT102262;0;0;0;;;0;;;;0;0;0;UVMVT102262;10693;latifolium;Elmer, A.D.E.;<NA>;Elmer;Fissistigma;latifolium
Drepananthus apoensis Elmer;Drepananthus;PH;Todaya (Mt. Apo), Island of Mindanao;6.989444;125.269722;Elmer, ADE;10843;;6;1909;nan;<NA>;VT;<NA>;UVMVT102236;0;0;0;;;0;;;;0;0;0;UVMVT102236;10843;apoensis;Elmer, A.D.E.;<NA>;Elmer;Drepananthus;apoensis
Cyathocalyx apoensis (Elmer) J.Sinclair;Drepananthus;PH;Philippines, Todaya (Mt. Apo), District of Davao, Island of Mindanao.;6.9894;125.2697;Elmer, ADE;Elmer, ADE  10843 ;1;6;1909;nan;<NA>;<NA>;Botany;L  0181321;0;0;0;Elmer;;0;;;;0;0;0;L0181321;10843;apoensis;Elmer ADE;<NA>;Elmer;Drepananthus;apoensis
Uvaria L.;Uvaria;PH;Todaya (Mount Apo), District of Davao.;6.474422;123.221811;Elmer, ADE;10957;;6;1909;nan;<NA>;NSW;NSW;NSW453602;0;0;0;;;0;;;;0;0;0;NSW453602;10957;grandiflora;Elmer, A.D.E.;<NA>;Elmer;Uvaria;
