huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Blume, Carl(Karl) Ludwig von;0;Orophea;sp.;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;14/01/1986 - 14/01/1986;14;1;1986;0;Indonésie;0;Java;0;;;0;0;P01987464;P01987464;Blume;;0;Blume;Kessler, P.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;argentea;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00260080;P00260080;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;burahol;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;nan;01/01/1993 - 31/12/1993;1;1;1993;0;Indonésie;0;Java;0;;;0;0;P00247927;P00247927;Blume;;0;Blume;Van Heusden, E.C.H.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;humilis;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00732422;P00732422;Blume;;0;Blume;<NA>;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;montana;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00260002;P00260002;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;purpurea;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00260039;P00260039;Blume;;0;Blume;Blume;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;rugosa;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Kessler, P;05/09/1985 - 05/09/1985;5;9;1985;0;Indonésie;0;Java;0;;;0;0;P00268538;P00268538;Blume;;0;Blume;Kessler, P.;Indonesia;0
Blume, Carl(Karl) Ludwig von;0;Uvaria;sphaerocarpa;0;0;Blume;;<NA>;nan;<NA>;<NA>;;;;Blume;<NA>;;;;0;Indonésie;0;Java;0;;;0;0;P00248443;P00248443;Blume;;0;Blume;Blume;Indonesia;0
Bon, Henri Francois;0;Polyalthia;nemoralis;0;0;Bon;;<NA>;nan;<NA>;15/10/1884 - 15/10/1884;15;10;1884;nan;<NA>;;;;0;Viet Nam;0;Mts de Kien-Khé. Tonkin;0;105.8848;20.5031;0;0;P00268408;P00268408;Bon;Hà Nam;0;Bon;<NA>;Hong Kong, Vietnam;0
Bon, Henri Francois;0;<NA>;indet.;0;0;Bon, H;;<NA>;nan;<NA>;07/02/1886 - 07/02/1886;7;2;1886;nan;<NA>;;;;0;Viet Nam;0;Lat son (Quen cây vai);0;105.877;20.5274;0;0;P01967818;P01967818;Bon;Hà Nam;0;Bon, H.;<NA>;Hong Kong, Vietnam;0
Bon, Henri Francois;0;Uvaria;boniana;0;0;Bon;;<NA>;nan;<NA>;21/08/1889 - 21/08/1889;21;8;1889;Meade, C;01/07/2000 - 31/07/2000;1;7;2000;0;Viet Nam;0;Ninh-Thaï. Tonkin;0;105.78;19.705;0;0;P00247944;P00247944;Bon;Thanh Hóa;0;Bon;Meade, C.;Hong Kong, Vietnam;0
