specimen - institute;specimen - collection;specimen - code;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - cultivated;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - number;collect_number - note_sure;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - precision;geo - not_sure;geo - no_info;owner - owner;owner - no_info;owner - not_sure;flower - flower;flower - info_color;flower - color_flowers;flower - not_sure;fruit - fruit;fruit - info_color;fruit - color_fruits;fruit - not_sure;Date deter - collect_date;Date deter - pas d'information;altitude - altitude;altitude - not_sure;altitude - no_info
MNHN;P;P00260020;Annonaceae;Uvaria;leytensis;;Philippines;false;;;;Isabela;;;;01/02/1926 - 31/03/1926;;false;Ramos, M.;Edaño, G.;;false;46784;;false;;;true;Philippines. San Mariano. Isabela Province. Luzon;;;16.9835964 , 122.0127684;;;;;;;"""Non""";;;;"""Non""";;;;;true;;;true
MNHN;P;P00260021;Annonaceae;Uvaria;leytensis;;Philippines;false;;;;Agusan del Norte;;;;01/09/1912 - 30/09/1912;;false;Elmer, A.D.E.;;;false;13880;;false;Elmer, A.D.E.;;false;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;;;9.1231657 , 125.532318;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00260025;Annonaceae;Uvaria;larep;;Malaisie;false;;;;Sabah;;;;01/10/1922 - 31/03/1923;;false;Elmer, A.D.E.;;;false;20732;;false;;;true;Tawao, Elphinstone Province, British North Borneo;;;4.2435206 , 117.885331;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260026;Annonaceae;Uvaria;lancifolia;;Philippines;false;;;;Zambales;;;;01/11/1924 - 31/12/1924;;false;Ramos, M.;Edaño, G.;;null;;;true;;;true;Philippines. Mt. Tapolao. Zambales Province. Luzon;;false;15.481 , 120.121;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260028;Annonaceae;Uvaria;javana;;Indonésie;null;;;false;East Java;;;false;05/03/1845 - 05/03/1845;;null;Zollinger;;;null;666;;null;Meade, C.;;null;Planta Javanica. Inter Puger et Djember Prov. Besuki;;false;-8.219 , 113.693;;;false;;;;"""Oui""";"""Oui""";ocre;;"""Non""";;;;17/05/1999 - 17/05/1999;null;;;true
MNHN;P;P00260029;Annonaceae;Uvaria;javana;;Indonésie;false;;;;Banten;;;;24/11/1960 - 24/11/1960;;false;Kostermans;;;false;229;;false;Meade, C.;;false;S.W. Java. Udjung Kulon, Tandjong Lajar. 50 m. alt.;;;-6.7458 , 105.212;;;;;;;"""Oui""";"""Oui""";jaune;;"""Non""";;;;17/05/1999 - 17/05/1999;false;50;;false
MNHN;P;P00260030;Annonaceae;Uvaria;javana;;Indonésie;false;;;;Banten;;;;24/11/1960 - 24/11/1960;;false;Kostermans;;;false;229;;false;Meade, C.;;false;S.W. Java, Udjung Kulon, Tandjong Lajar, +- 50 m alt.;;;-6.7458 , 105.212;;;;;;;"""Oui""";"""Oui""";jaune;;"""Non""";;;;17/05/1999 - 17/05/1999;false;50;;false
MNHN;P;P00260031;Annonaceae;Uvaria;javana;;Indonésie;false;;;;Banten;;;;28/01/1964 - 28/01/1964;;false;Wirawan, N.;;;false;423;;false;Nedi;;false;S.W. Java. Udjung Kulon Nature Reserve, Peut jang Isl.;;;-6.739 , 105.258;;;;;;;"""Oui""";"""Oui""";jaune verdâtre;;"""Oui""";"""Oui""";vert;;25/05/1964 - 25/05/1964;false;;;true
MNHN;P;P00260032;Annonaceae;Uvaria;javana;;Malaisie;false;;;;Sabah;;;;01/10/1922 - 31/03/1923;;false;Elmer, A.D.E.;;;false;20857;;false;;;true;Tawao, Elphinstone Province, British North Borneo;;;4.2435206 , 117.885331;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260033;Annonaceae;Uvaria;javana;;Malaisie;false;;;;Sabah;;;;01/10/1922 - 31/03/1923;;false;Elmer, A.D.E.;;;false;20857;;false;;;true;Tawao, Elphinstone Province, British North Borneo.;;;4.2435206 , 117.885331;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260034;Annonaceae;Uvaria;hirsuta;;Indonésie;false;;;;;;;true;01/01/1834 - 31/12/1834;;false;Blume;;;false;;;true;;;true;Java;;;;;;true;;;;"""Non""";;;;"""Non""";;;;;true;;;true
